timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1625122739371,1978,HTTP Request,200,OK,Thread Group 1-4,text,true,,3447,230,5,5,https://blazedemo.com/,960,0,191
1625122739371,960,HTTP Request-0,302,Found,Thread Group 1-4,text,true,,219,115,5,5,http://blazedemo.com/,960,0,191
1625122740332,1017,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,3228,115,5,5,https://blazedemo.com/,1013,0,576
1625122739172,2241,HTTP Request,200,OK,Thread Group 1-3,text,true,,3447,230,4,4,https://blazedemo.com/,1127,0,125
1625122739172,1127,HTTP Request-0,302,Found,Thread Group 1-3,text,true,,219,115,4,4,http://blazedemo.com/,1127,0,125
1625122740300,1113,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,3228,115,4,4,https://blazedemo.com/,1113,0,685
1625122738903,2513,HTTP Request,200,OK,Thread Group 1-1,text,true,,3447,230,3,3,https://blazedemo.com/,629,0,334
1625122738903,644,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,219,115,3,3,http://blazedemo.com/,629,0,334
1625122739549,1867,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3228,115,3,3,https://blazedemo.com/,1867,0,1359
1625122739569,1930,HTTP Request,200,OK,Thread Group 1-5,text,true,,3447,230,2,2,https://blazedemo.com/,1303,0,1077
1625122739569,1303,HTTP Request-0,302,Found,Thread Group 1-5,text,true,,219,115,2,2,http://blazedemo.com/,1303,0,1077
1625122740874,625,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,3228,115,2,2,https://blazedemo.com/,623,0,215
1625122738971,2725,HTTP Request,200,OK,Thread Group 1-2,text,true,,3447,230,1,1,https://blazedemo.com/,1292,0,267
1625122738971,1292,HTTP Request-0,302,Found,Thread Group 1-2,text,true,,219,115,1,1,http://blazedemo.com/,1292,0,267
1625122740266,1430,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,3228,115,1,1,https://blazedemo.com/,1427,0,1017
